,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
46071,Chhattisgarh,BALOD,2013,Rabi       ,Safflower,1.0,1.0
46101,Chhattisgarh,BALOD,2014,Rabi       ,Other  Rabi pulses,1.0,5.0
46121,Chhattisgarh,BALODA BAZAR,2011,Kharif     ,Mesta,17.0,35.364999999999995
46202,Chhattisgarh,BALODA BAZAR,2013,Kharif     ,Sunflower,60.0,23.4
46270,Chhattisgarh,BALRAMPUR,2011,Kharif     ,Jute,18.0,136.51
46745,Chhattisgarh,BASTAR,2008,Kharif     ,Coconut ,51.0,83745.37999999999
46763,Chhattisgarh,BASTAR,2008,Rabi       ,Horse-gram,1.0,1.9
46812,Chhattisgarh,BASTAR,2009,Whole Year ,Cotton(lint),2.0,14.935714285714287
46887,Chhattisgarh,BASTAR,2011,Whole Year ,Coconut ,14.0,198.03
46927,Chhattisgarh,BASTAR,2012,Whole Year ,Coconut ,11.0,198.03
46962,Chhattisgarh,BASTAR,2013,Whole Year ,Coconut ,1.0,2413.5533333333333
46999,Chhattisgarh,BASTAR,2014,Whole Year ,Coconut ,1.0,2413.5533333333333
47125,Chhattisgarh,BEMETARA,2014,Rabi       ,Horse-gram,2.0,1.0
47148,Chhattisgarh,BIJAPUR,2006,Kharif     ,Arhar/Tur,11.0,6.8
47149,Chhattisgarh,BIJAPUR,2006,Kharif     ,Groundnut,12.0,11.1675
47150,Chhattisgarh,BIJAPUR,2006,Kharif     ,Horse-gram,456.0,123.6
47151,Chhattisgarh,BIJAPUR,2006,Kharif     ,Jowar,94.0,74.3
47152,Chhattisgarh,BIJAPUR,2006,Kharif     ,Maize,901.0,1662.9333333333336
47153,Chhattisgarh,BIJAPUR,2006,Kharif     ,Mesta,6.0,9.35
47154,Chhattisgarh,BIJAPUR,2006,Kharif     ,Moong(Green Gram),357.0,106.1
47155,Chhattisgarh,BIJAPUR,2006,Kharif     ,Niger seed,30.0,3.9
47156,Chhattisgarh,BIJAPUR,2006,Kharif     ,Other Kharif pulses,199.0,51.5
47157,Chhattisgarh,BIJAPUR,2006,Kharif     ,Ragi,110.0,29.1
47158,Chhattisgarh,BIJAPUR,2006,Kharif     ,Rice,59305.0,78251.5
47159,Chhattisgarh,BIJAPUR,2006,Kharif     ,Sesamum,195.0,66.3
47161,Chhattisgarh,BIJAPUR,2006,Kharif     ,Urad,384.0,145.9
47162,Chhattisgarh,BIJAPUR,2006,Rabi       ,Gram,2.0,1.86
47163,Chhattisgarh,BIJAPUR,2006,Rabi       ,Horse-gram,379.0,122.6
47164,Chhattisgarh,BIJAPUR,2006,Rabi       ,Moong(Green Gram),524.0,153.9
47165,Chhattisgarh,BIJAPUR,2006,Rabi       ,Other  Rabi pulses,112.0,40.4
47166,Chhattisgarh,BIJAPUR,2006,Rabi       ,Rapeseed &Mustard,143.0,68.6
47167,Chhattisgarh,BIJAPUR,2006,Rabi       ,Urad,210.0,41.0
47168,Chhattisgarh,BIJAPUR,2006,Rabi       ,Wheat,4.0,6.101666666666667
47169,Chhattisgarh,BIJAPUR,2006,Whole Year ,Banana,3.0,100.58650793650793
47170,Chhattisgarh,BIJAPUR,2006,Whole Year ,Coriander,10.0,3.8166666666666673
47171,Chhattisgarh,BIJAPUR,2006,Whole Year ,Dry chillies,63.0,39.8
47172,Chhattisgarh,BIJAPUR,2006,Whole Year ,Onion,1.0,6.081666666666667
47173,Chhattisgarh,BIJAPUR,2006,Whole Year ,Sannhamp,15.0,4.675
47174,Chhattisgarh,BIJAPUR,2006,Whole Year ,Sugarcane,1.0,3.348628822158234
47175,Chhattisgarh,BIJAPUR,2006,Whole Year ,Sweet potato,9.0,86.14642857142857
47176,Chhattisgarh,BIJAPUR,2006,Whole Year ,Turmeric,12.0,8.778571428571428
47207,Chhattisgarh,BIJAPUR,2008,Kharif     ,Coconut ,21.0,8798.33
47220,Chhattisgarh,BIJAPUR,2008,Kharif     ,Sunflower,2.0,4.94095238095238
47233,Chhattisgarh,BIJAPUR,2008,Whole Year ,Turmeric,11.0,9.318015873015874
47250,Chhattisgarh,BIJAPUR,2009,Rabi       ,Other  Rabi pulses,41.0,35.65
47254,Chhattisgarh,BIJAPUR,2009,Whole Year ,Coriander,2.0,1.0
47256,Chhattisgarh,BIJAPUR,2009,Whole Year ,Dry ginger,5.0,11.246197691197692
47258,Chhattisgarh,BIJAPUR,2009,Whole Year ,Sugarcane,1.0,3.348628822158234
47307,Chhattisgarh,BIJAPUR,2011,Whole Year ,Coconut ,21.0,210.53000000000003
47333,Chhattisgarh,BIJAPUR,2012,Whole Year ,Coconut ,21.0,210.53000000000003
47360,Chhattisgarh,BIJAPUR,2013,Whole Year ,Coconut ,21.0,210.53000000000003
47387,Chhattisgarh,BIJAPUR,2014,Whole Year ,Coconut ,21.0,210.53000000000003
47388,Chhattisgarh,BIJAPUR,2014,Whole Year ,Coriander,1.0,7.807142857142857
